Name,Description,Servers
APP-0000413,enable frictionless info-mediaries,"SRV-1008186, SRV-0102310, SRV-0106728, SRV-0109024"
APP-0017106,matrix granular web services,"SRV-1002853, SRV-0107448, SRV-0107236, SRV-100595, SRV-1006591"
APP-0002005,deploy e-business channels,"SRV-1008710, SRV-1007666, SRV-010969"
APP-0008388,incentivize visionary paradigms,"SRV-0108510, SRV-1002440, SRV-0104604, SRV-100902, SRV-0101002, SRV-1002633, SRV-1006692, SRV-1003440"
APP-0017649,embrace web-enabled relationships,"SRV-0107550, SRV-0109964"
APP-0008325,maximize 24/7 e-markets,"SRV-010604, SRV-0107433, SRV-1004251"
APP-0010787,e-enable synergistic partnerships,"SRV-1001997, SRV-1004898, SRV-1001586"
APP-0013974,seize plug-and-play synergies,"SRV-1003925, SRV-0103712"
APP-0005328,utilize scalable metrics,"SRV-1004582, SRV-0103957, SRV-1001896, SRV-0103192, SRV-0102748, SRV-1009068, SRV-1004921"
APP-0016683,envisioneer efficient bandwidth,"SRV-0108534, SRV-1006357, SRV-0108246, SRV-0108629, SRV-1008796, SRV-1001039, SRV-1007576, SRV-0107869"
APP-0001276,exploit B2B interfaces,"SRV-0101937, SRV-1009510, SRV-1008472"
APP-0008026,re-intermediate bleeding-edge content,"SRV-1008510, SRV-0102434, SRV-1006526, SRV-0104334, SRV-1005284, SRV-1006827, SRV-0106369"
APP-0003108,transform extensible markets,"SRV-0101044, SRV-1003594, SRV-01057, SRV-1001892"
APP-0003460,engage wireless markets,"SRV-0101181, SRV-0101494, SRV-1003482, SRV-1003284, SRV-1009640"
APP-0010556,deliver web-enabled interfaces,"SRV-1002016, SRV-0106624, SRV-0103489, SRV-1009454, SRV-0103186, SRV-0108280, SRV-1008086, SRV-1005782, SRV-1003328"
APP-0002555,aggregate customized bandwidth,"SRV-1005536, SRV-0105733, SRV-1008416, SRV-010315, SRV-1004778, SRV-0101389, SRV-0106834, SRV-1005145, SRV-0101359, SRV-1006691"
APP-0001959,disintermediate innovative solutions,"SRV-1001454, SRV-0107816, SRV-1007082"
APP-0008414,disintermediate B2B markets,"SRV-1005416, SRV-100922, SRV-0109931, SRV-1007506, SRV-0101455, SRV-010711, SRV-0103120"
APP-0019738,benchmark rich paradigms,"SRV-0109977, SRV-0107502, SRV-100703"
APP-0011239,cultivate cross-platform e-tailers,"SRV-0107411, SRV-0106139, SRV-1002639, SRV-1005382"
APP-0012675,synthesize transparent supply-chains,"SRV-1004021, SRV-1003748, SRV-010422, SRV-0106184, SRV-0108709, SRV-0106360"
APP-0015028,whiteboard end-to-end e-business,"SRV-1002888, SRV-010492, SRV-0106746, SRV-0109894, SRV-0101805, SRV-010154, SRV-0101738"
APP-0006776,architect viral mindshare,"SRV-010193, SRV-0105330, SRV-1001417, SRV-1007746"
APP-0017385,enhance front-end portals,"SRV-0105418, SRV-1006057, SRV-0102503, SRV-0104703"
APP-0009428,cultivate best-of-breed technologies,"SRV-0102034, SRV-1003690, SRV-1007311, SRV-1008327, SRV-0101811"
APP-0006600,enhance dynamic platforms,"SRV-0107417, SRV-0102434, SRV-0107866, SRV-0109208, SRV-1004686, SRV-1005349"
APP-0013654,integrate real-time experiences,"SRV-1001170, SRV-0109924, SRV-0104978, SRV-1009626, SRV-1003504, SRV-0109312, SRV-100504"
APP-0013363,leverage sticky metrics,"SRV-100256, SRV-1001738, SRV-0101586, SRV-100474, SRV-010141, SRV-0105628, SRV-0101525, SRV-1004270, SRV-0108731"
APP-0006064,brand B2C e-commerce,"SRV-0109342, SRV-0107983, SRV-1002044, SRV-0103545, SRV-1002275, SRV-1001321"
APP-0010670,mesh revolutionary networks,"SRV-0109650, SRV-010217"
APP-0017431,engage open-source e-services,"SRV-0107014, SRV-0102453, SRV-1008959, SRV-1001097, SRV-0108744, SRV-1009340, SRV-0107677"
APP-0017448,syndicate one-to-one partnerships,"SRV-1008561, SRV-1005298, SRV-1007310, SRV-0104267"
APP-0010019,embrace intuitive platforms,SRV-0103457
APP-0019187,enable extensible synergies,SRV-1005980
APP-0018758,e-enable user-centric channels,"SRV-100404, SRV-0108433, SRV-1001446, SRV-1004885, SRV-0103228, SRV-0104138, SRV-1006101, SRV-1006612, SRV-1006704"
APP-0008083,drive global methodologies,"SRV-1008111, SRV-0101943, SRV-1005179, SRV-1006215, SRV-0104431, SRV-0102182, SRV-0109459, SRV-0109589, SRV-1003512"
APP-0005527,integrate extensible networks,"SRV-010312, SRV-0105289"
APP-0001675,optimize distributed paradigms,"SRV-0106084, SRV-0101392, SRV-1009597"
APP-0004761,maximize holistic ROI,"SRV-1002705, SRV-1005926, SRV-0105927, SRV-1005044, SRV-0107048, SRV-010677"
APP-0011581,deliver end-to-end architectures,"SRV-0108381, SRV-0107813, SRV-1006203, SRV-0107402, SRV-1009621, SRV-0103037, SRV-0104870, SRV-1009505, SRV-0102889"
APP-0010884,synthesize back-end bandwidth,"SRV-100718, SRV-0105435, SRV-1007457, SRV-0108965, SRV-0108057, SRV-0108731, SRV-0107169, SRV-0107199"
APP-0006629,streamline killer architectures,"SRV-0103718, SRV-1004866, SRV-0105779, SRV-1005355, SRV-1001636, SRV-0104025, SRV-1009760, SRV-0101633, SRV-0108722"
APP-0016878,cultivate efficient applications,"SRV-1005618, SRV-010450, SRV-0107600, SRV-1004900, SRV-0104250, SRV-1008875"
APP-0018129,integrate integrated functionalities,"SRV-010864, SRV-1005365, SRV-1004617, SRV-0107062, SRV-1007125, SRV-100600"
