ID,Severity,AffectedServer,ReportedDate,Description
INC-1270842,1-High,SRV-0000002,10/14/23 07:46,SRV-9794176 failed to establish a network connection
INC-1292153,4-Very Low,SRV-0000003,10/02/23 16:08,Server SRV-8942144 experienced a memory leak
INC-1721370,2-Medium,SRV-0000010,10/13/23 02:10,Storage subsystem on SRV-7288269 reported read/write errors
INC-1802485,2-Medium,SRV-0000007,10/07/23 14:56,Server SRV-1230024 experienced a memory leak
INC-1751533,1-High,SRV-0000004,10/17/23 21:37,Application on SRV-9745083 failed to start after update
INC-1972179,2-Medium,SRV-0000004,10/23/23 09:30,Storage subsystem on SRV-5288354 reported read/write errors
INC-1845198,1-High,SRV-0000007,09/29/23 05:14,Server SRV-1788319 ran out of memory and was rebooted
INC-1506937,3-Low,SRV-0000005,10/10/23 19:47,Network interface on SRV-7112735 dropped packets for 10 minutes
INC-1961921,3-Low,SRV-0000005,10/22/23 18:50,Server SRV-7199625 ran out of memory and was rebooted
INC-1823126,4-Very Low,SRV-0000010,10/07/23 10:29,Application on SRV-2665098 failed to start after update
INC-1241008,4-Very Low,SRV-0000007,10/04/23 17:11,Unexpected disk I/O spike detected on SRV-4423700
INC-1729467,4-Very Low,SRV-0000003,10/02/23 08:49,Laptop LAQ6649373 shuts down due to overheating
INC-1538205,3-Low,SRV-0000009,10/23/23 09:57,SRV-6575275 failed to establish a network connection
INC-1645325,3-Low,SRV-0000006,10/13/23 03:37,SRV-3094985 failed to establish a network connection
INC-1349612,4-Very Low,SRV-0000007,10/25/23 15:24,Server SRV-8716665 experienced a memory leak
INC-1338647,4-Very Low,SRV-0000009,10/13/23 17:59,Unexpected disk I/O spike detected on SRV-640986
INC-1059787,2-Medium,SRV-0000005,10/01/23 20:04,Application on SRV-5779869 failed to start after update
INC-1602559,3-Low,SRV-0000004,10/19/23 01:05,Server SRV-2249075 experienced a memory leak
INC-1674857,4-Very Low,SRV-0000010,10/15/23 14:23,Disk space on SRV-6908941 is below 10% available
