Name,OS,DataCenter,IsVirtual,ParentServer
SRV-010001,VirtualBox,DC-1,No,N/A
SRV-010002,VirtualBox,DC-4,No,N/A
SRV-010003,VirtualBox,DC-6,No,N/A
SRV-010004,VirtualBox,DC-9,No,N/A
SRV-010005,VirtualBox,DC-8,No,N/A
SRV-010006,VirtualBox,DC-7,No,N/A
SRV-010007,VirtualBox,DC-7,No,N/A
SRV-010008,VirtualBox,DC-9,No,N/A
SRV-010009,VirtualBox,DC-5,No,N/A
SRV-010010,VirtualBox,DC-2,No,N/A
SRV-010011,VirtualBox,DC-8,No,N/A
SRV-010012,VirtualBox,DC-2,No,N/A
SRV-010013,VirtualBox,DC-4,No,N/A
SRV-010014,VirtualBox,DC-2,No,N/A
SRV-010015,VirtualBox,DC-6,No,N/A
SRV-010016,VirtualBox,DC-5,No,N/A
SRV-010017,VirtualBox,DC-6,No,N/A
SRV-010018,VirtualBox,DC-4,No,N/A
SRV-010019,VirtualBox,DC-2,No,N/A
SRV-010020,VirtualBox,DC-3,No,N/A
SRV-010021,VirtualBox,DC-3,No,N/A
SRV-010022,VirtualBox,DC-4,No,N/A
SRV-010023,VirtualBox,DC-2,No,N/A
SRV-010024,VirtualBox,DC-6,No,N/A
SRV-010025,VirtualBox,DC-5,No,N/A
SRV-010026,VirtualBox,DC-8,No,N/A
SRV-010027,VirtualBox,DC-8,No,N/A
SRV-010028,VirtualBox,DC-6,No,N/A
SRV-010029,VirtualBox,DC-9,No,N/A
SRV-010030,VirtualBox,DC-6,No,N/A
SRV-010031,VirtualBox,DC-5,No,N/A
SRV-010032,VirtualBox,DC-4,No,N/A
SRV-010033,VirtualBox,DC-1,No,N/A
SRV-010034,VirtualBox,DC-4,No,N/A
SRV-010035,VirtualBox,DC-1,No,N/A
SRV-010036,VirtualBox,DC-1,No,N/A
SRV-010037,VirtualBox,DC-2,No,N/A
SRV-010038,VirtualBox,DC-5,No,N/A
SRV-010039,VirtualBox,DC-10,No,N/A
SRV-010040,VirtualBox,DC-9,No,N/A
SRV-010041,VirtualBox,DC-10,No,N/A
SRV-010042,VirtualBox,DC-3,No,N/A
SRV-010043,VirtualBox,DC-2,No,N/A
SRV-010044,VirtualBox,DC-10,No,N/A
SRV-010045,VirtualBox,DC-10,No,N/A
SRV-010046,VirtualBox,DC-1,No,N/A
SRV-010047,VirtualBox,DC-7,No,N/A
SRV-010048,VirtualBox,DC-3,No,N/A
SRV-010049,VirtualBox,DC-10,No,N/A
SRV-010050,VirtualBox,DC-6,No,N/A
SRV-010051,VirtualBox,DC-1,No,N/A
SRV-010052,VirtualBox,DC-10,No,N/A
SRV-010053,VirtualBox,DC-5,No,N/A
SRV-010054,VirtualBox,DC-5,No,N/A
SRV-010055,VirtualBox,DC-3,No,N/A
SRV-010056,VirtualBox,DC-1,No,N/A
SRV-010057,VirtualBox,DC-6,No,N/A
SRV-010058,VirtualBox,DC-3,No,N/A
SRV-010059,VirtualBox,DC-7,No,N/A
SRV-010060,VirtualBox,DC-10,No,N/A
SRV-010061,VirtualBox,DC-5,No,N/A
SRV-010062,VirtualBox,DC-1,No,N/A
SRV-010063,VirtualBox,DC-5,No,N/A
SRV-010064,VirtualBox,DC-1,No,N/A
SRV-010065,VirtualBox,DC-10,No,N/A
SRV-010066,VirtualBox,DC-5,No,N/A
SRV-010067,VirtualBox,DC-10,No,N/A
SRV-010068,VirtualBox,DC-10,No,N/A
SRV-010069,VirtualBox,DC-5,No,N/A
SRV-010070,VirtualBox,DC-10,No,N/A
SRV-010071,VirtualBox,DC-2,No,N/A
SRV-010072,VirtualBox,DC-2,No,N/A
SRV-010073,VirtualBox,DC-7,No,N/A
SRV-010074,VirtualBox,DC-5,No,N/A
SRV-010075,VirtualBox,DC-5,No,N/A
SRV-010076,VirtualBox,DC-8,No,N/A
SRV-010077,VirtualBox,DC-5,No,N/A
SRV-010078,VirtualBox,DC-3,No,N/A
SRV-010079,VirtualBox,DC-4,No,N/A
SRV-010080,VirtualBox,DC-4,No,N/A
SRV-010081,VirtualBox,DC-4,No,N/A
SRV-010082,VirtualBox,DC-4,No,N/A
SRV-010083,VirtualBox,DC-1,No,N/A
SRV-010084,VirtualBox,DC-1,No,N/A
SRV-010085,VirtualBox,DC-7,No,N/A
SRV-010086,VirtualBox,DC-2,No,N/A
SRV-010087,VirtualBox,DC-9,No,N/A
SRV-010088,VirtualBox,DC-5,No,N/A
SRV-010089,VirtualBox,DC-1,No,N/A
SRV-010090,VirtualBox,DC-8,No,N/A
SRV-010091,VirtualBox,DC-5,No,N/A
SRV-010092,VirtualBox,DC-5,No,N/A
SRV-010093,VirtualBox,DC-6,No,N/A
SRV-010094,VirtualBox,DC-3,No,N/A
SRV-010095,VirtualBox,DC-3,No,N/A
SRV-010096,VirtualBox,DC-2,No,N/A
SRV-010097,VirtualBox,DC-7,No,N/A
SRV-010098,VirtualBox,DC-5,No,N/A
SRV-010099,VirtualBox,DC-3,No,N/A
SRV-010100,VirtualBox,DC-3,No,N/A
SRV-010101,VirtualBox,DC-1,No,N/A
SRV-010102,VirtualBox,DC-5,No,N/A
SRV-010103,VirtualBox,DC-3,No,N/A
SRV-010104,VirtualBox,DC-7,No,N/A
SRV-010105,VirtualBox,DC-4,No,N/A
SRV-010106,VirtualBox,DC-4,No,N/A
SRV-010107,VirtualBox,DC-9,No,N/A
SRV-010108,VirtualBox,DC-8,No,N/A
SRV-010109,VirtualBox,DC-6,No,N/A
SRV-010110,VirtualBox,DC-4,No,N/A
SRV-010111,VirtualBox,DC-3,No,N/A
SRV-010112,VirtualBox,DC-2,No,N/A
SRV-010113,VirtualBox,DC-8,No,N/A
SRV-010114,VirtualBox,DC-8,No,N/A
SRV-010115,VirtualBox,DC-3,No,N/A
SRV-010116,VirtualBox,DC-4,No,N/A
SRV-010117,VirtualBox,DC-9,No,N/A
SRV-010118,VirtualBox,DC-5,No,N/A
SRV-010119,VirtualBox,DC-1,No,N/A
SRV-010120,VirtualBox,DC-8,No,N/A
SRV-010121,VirtualBox,DC-5,No,N/A
SRV-010122,VirtualBox,DC-8,No,N/A
SRV-010123,VirtualBox,DC-1,No,N/A
SRV-010124,VirtualBox,DC-10,No,N/A
SRV-010125,VirtualBox,DC-8,No,N/A
SRV-010126,VirtualBox,DC-4,No,N/A
SRV-010127,VirtualBox,DC-1,No,N/A
SRV-010128,VirtualBox,DC-6,No,N/A
SRV-010129,VirtualBox,DC-8,No,N/A
SRV-010130,VirtualBox,DC-1,No,N/A
SRV-010131,VirtualBox,DC-10,No,N/A
SRV-010132,VirtualBox,DC-10,No,N/A
SRV-010133,VirtualBox,DC-10,No,N/A
SRV-010134,VirtualBox,DC-2,No,N/A
SRV-010135,VirtualBox,DC-10,No,N/A
SRV-010136,VirtualBox,DC-6,No,N/A
SRV-010137,VirtualBox,DC-1,No,N/A
SRV-010138,VirtualBox,DC-7,No,N/A
SRV-010139,VirtualBox,DC-4,No,N/A
SRV-010140,VirtualBox,DC-6,No,N/A
SRV-010141,VirtualBox,DC-9,No,N/A
SRV-010142,VirtualBox,DC-2,No,N/A
SRV-010143,VirtualBox,DC-4,No,N/A
SRV-010144,VirtualBox,DC-5,No,N/A
SRV-010145,VirtualBox,DC-10,No,N/A
SRV-010146,VirtualBox,DC-8,No,N/A
SRV-010147,VirtualBox,DC-3,No,N/A
SRV-010148,VirtualBox,DC-9,No,N/A
SRV-010149,VirtualBox,DC-9,No,N/A
SRV-010150,VirtualBox,DC-2,No,N/A
SRV-010151,VirtualBox,DC-6,No,N/A
SRV-010152,VirtualBox,DC-1,No,N/A
SRV-010153,VirtualBox,DC-2,No,N/A
SRV-010154,VirtualBox,DC-10,No,N/A
SRV-010155,VirtualBox,DC-1,No,N/A
SRV-010156,VirtualBox,DC-2,No,N/A
SRV-010157,VirtualBox,DC-4,No,N/A
SRV-010158,VirtualBox,DC-4,No,N/A
SRV-010159,VirtualBox,DC-5,No,N/A
SRV-010160,VirtualBox,DC-1,No,N/A
SRV-010161,VirtualBox,DC-9,No,N/A
SRV-010162,VirtualBox,DC-6,No,N/A
SRV-010163,VirtualBox,DC-5,No,N/A
SRV-010164,VirtualBox,DC-2,No,N/A
SRV-010165,VirtualBox,DC-10,No,N/A
SRV-010166,VirtualBox,DC-10,No,N/A
SRV-010167,VirtualBox,DC-4,No,N/A
SRV-010168,VirtualBox,DC-7,No,N/A
SRV-010169,VirtualBox,DC-5,No,N/A
SRV-010170,VirtualBox,DC-3,No,N/A
SRV-010171,VirtualBox,DC-6,No,N/A
SRV-010172,VirtualBox,DC-6,No,N/A
SRV-010173,VirtualBox,DC-3,No,N/A
SRV-010174,VirtualBox,DC-9,No,N/A
SRV-010175,VirtualBox,DC-4,No,N/A
SRV-010176,VirtualBox,DC-6,No,N/A
SRV-010177,VirtualBox,DC-9,No,N/A
SRV-010178,VirtualBox,DC-4,No,N/A
SRV-010179,VirtualBox,DC-2,No,N/A
SRV-010180,VirtualBox,DC-7,No,N/A
SRV-010181,VirtualBox,DC-8,No,N/A
SRV-010182,VirtualBox,DC-6,No,N/A
SRV-010183,VirtualBox,DC-9,No,N/A
SRV-010184,VirtualBox,DC-8,No,N/A
SRV-010185,VirtualBox,DC-10,No,N/A
SRV-010186,VirtualBox,DC-1,No,N/A
SRV-010187,VirtualBox,DC-9,No,N/A
SRV-010188,VirtualBox,DC-8,No,N/A
SRV-010189,VirtualBox,DC-10,No,N/A
SRV-010190,VirtualBox,DC-1,No,N/A
SRV-010191,VirtualBox,DC-9,No,N/A
SRV-010192,VirtualBox,DC-3,No,N/A
SRV-010193,VirtualBox,DC-3,No,N/A
SRV-010194,VirtualBox,DC-10,No,N/A
SRV-010195,VirtualBox,DC-3,No,N/A
SRV-010196,VirtualBox,DC-7,No,N/A
SRV-010197,VirtualBox,DC-4,No,N/A
SRV-010198,VirtualBox,DC-1,No,N/A
SRV-010199,VirtualBox,DC-7,No,N/A
SRV-010200,VirtualBox,DC-6,No,N/A
SRV-010201,VirtualBox,DC-9,No,N/A
SRV-010202,VirtualBox,DC-4,No,N/A
SRV-010203,VirtualBox,DC-4,No,N/A
SRV-010204,VirtualBox,DC-5,No,N/A
SRV-010205,VirtualBox,DC-6,No,N/A
SRV-010206,VirtualBox,DC-4,No,N/A
SRV-010207,VirtualBox,DC-10,No,N/A
SRV-010208,VirtualBox,DC-5,No,N/A
SRV-010209,VirtualBox,DC-3,No,N/A
SRV-010210,VirtualBox,DC-7,No,N/A
SRV-010211,VirtualBox,DC-5,No,N/A
SRV-010212,VirtualBox,DC-5,No,N/A
SRV-010213,VirtualBox,DC-6,No,N/A
SRV-010214,VirtualBox,DC-9,No,N/A
SRV-010215,VirtualBox,DC-3,No,N/A
SRV-010216,VirtualBox,DC-10,No,N/A
SRV-010217,VirtualBox,DC-9,No,N/A
SRV-010218,VirtualBox,DC-4,No,N/A
SRV-010219,VirtualBox,DC-8,No,N/A
SRV-010220,VirtualBox,DC-9,No,N/A
SRV-010221,VirtualBox,DC-1,No,N/A
SRV-010222,VirtualBox,DC-4,No,N/A
SRV-010223,VirtualBox,DC-9,No,N/A
SRV-010224,VirtualBox,DC-7,No,N/A
SRV-010225,VirtualBox,DC-6,No,N/A
SRV-010226,VirtualBox,DC-7,No,N/A
SRV-010227,VirtualBox,DC-7,No,N/A
SRV-010228,VirtualBox,DC-10,No,N/A
SRV-010229,VirtualBox,DC-3,No,N/A
SRV-010230,VirtualBox,DC-8,No,N/A
SRV-010231,VirtualBox,DC-1,No,N/A
SRV-010232,VirtualBox,DC-7,No,N/A
SRV-010233,VirtualBox,DC-4,No,N/A
SRV-010234,VirtualBox,DC-1,No,N/A
SRV-010235,VirtualBox,DC-4,No,N/A
SRV-010236,VirtualBox,DC-6,No,N/A
SRV-010237,VirtualBox,DC-9,No,N/A
SRV-010238,VirtualBox,DC-6,No,N/A
SRV-010239,VirtualBox,DC-7,No,N/A
SRV-010240,VirtualBox,DC-5,No,N/A
SRV-010241,VirtualBox,DC-7,No,N/A
SRV-010242,VirtualBox,DC-1,No,N/A
SRV-010243,VirtualBox,DC-4,No,N/A
SRV-010244,VirtualBox,DC-7,No,N/A
SRV-010245,VirtualBox,DC-2,No,N/A
SRV-010246,VirtualBox,DC-2,No,N/A
SRV-010247,VirtualBox,DC-4,No,N/A
SRV-010248,VirtualBox,DC-1,No,N/A
SRV-010249,VirtualBox,DC-7,No,N/A
SRV-010250,VirtualBox,DC-9,No,N/A
SRV-010251,VirtualBox,DC-5,No,N/A
SRV-010252,VirtualBox,DC-5,No,N/A
SRV-010253,VirtualBox,DC-5,No,N/A
SRV-010254,VirtualBox,DC-6,No,N/A
